2022-09-08 19:58:48; INFO; GridPlugin; 5228; 10908] [Join] GetProcessAccountName: si
2022-09-08 19:58:48; INFO; GridPlugin; 5228; 10908] Loaded library v5.2.6.0 successfully in ush
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_JOIN End
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead End, Command = 1
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead Start, Command = 1
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_JOIN Start
2022-09-08 19:58:48; INFO; Macro Key Plugin; 5228; 10908] Loaded library v5.2.6.0 successfully in ush
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_JOIN End
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead End, Command = 1
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead Start, Command = 1
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_JOIN Start
2022-09-08 19:58:48; INFO; MB_Home; 5228; 10908] Loaded library v5.2.6.0 successfully in ush
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_JOIN End
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead End, Command = 1
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead Start, Command = 1
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_JOIN Start
2022-09-08 19:58:48; INFO; ScenarioProfilePlugIn; 5228; 10908] Loaded library v5.2.6.0 successfully in ush
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_JOIN End
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead End, Command = 1
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead Start, Command = 1
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_JOIN Start
2022-09-08 19:58:48; INFO; WebSocketClientPlugin; 5228; 10908] Loaded library v1.5.3.0 successfully in ush
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_JOIN End
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead End, Command = 1
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead Start, Command = 1
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_JOIN Start
2022-09-08 19:58:48; INFO; User Experience Improvement Plugin; 5228; 10908] Loaded library v5.2.6.0 successfully in ush
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_JOIN End
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead End, Command = 1
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead Start, Command = 5
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] Start Registering
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead End, Command = 5
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead Start, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT Start
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] StartRunning, Name: AEF Core, RunningThread 00000000000008D4
