2022-09-07 19:35:22; CRITICAL; User Session Main; 15760; 19940] WMain Begin
2022-09-07 19:35:22; CRITICAL; User Session Main; 15760; 19940] Before manager initializing
2022-09-07 19:35:22; CRITICAL; User Session Manager; 15760; 19940] /------------User Session Helper start to initialize------------/
2022-09-07 19:35:22; CRITICAL; User Session Manager; 15760; 19940] /------------User Session Helper initialized: 0x00000000------------/
2022-09-07 19:35:22; INFO; User Session Manager; 15760; 8] UserSessionPipeStreamServer OnRead Start, Command = 1
2022-09-07 19:35:22; INFO; User Session Manager; 15760; 8] USH_COMMAND_JOIN Start
2022-09-07 19:35:23; INFO; AEF Core; 15760; 8] Loaded library v5.2.6.0 successfully in ush
2022-09-07 19:35:23; INFO; User Session Manager; 15760; 8] USH_COMMAND_JOIN End
2022-09-07 19:35:23; INFO; User Session Manager; 15760; 8] UserSessionPipeStreamServer OnRead End, Command = 1
2022-09-07 19:35:23; INFO; User Session Manager; 15760; 8] UserSessionPipeStreamServer OnRead Start, Command = 1
2022-09-07 19:35:23; INFO; User Session Manager; 15760; 8] USH_COMMAND_JOIN Start
2022-09-07 19:35:23; INFO; GameBoxPlugIn; 15760; 8] Loaded library v5.2.0.0 successfully in ush
2022-09-07 19:35:23; INFO; User Session Manager; 15760; 8] USH_COMMAND_JOIN End
2022-09-07 19:35:23; INFO; User Session Manager; 15760; 8] UserSessionPipeStreamServer OnRead End, Command = 1
2022-09-07 19:35:23; INFO; User Session Manager; 15760; 8] UserSessionPipeStreamServer OnRead Start, Command = 1
2022-09-07 19:35:23; INFO; User Session Manager; 15760; 8] USH_COMMAND_JOIN Start
2022-09-07 19:35:23; INFO; DeviceServicePlugin; 15760; 8] Loaded library v5.2.6.0 successfully in ush
2022-09-07 19:35:23; INFO; User Session Manager; 15760; 8] USH_COMMAND_JOIN End
2022-09-07 19:35:23; INFO; User Session Manager; 15760; 8] UserSessionPipeStreamServer OnRead End, Command = 1
2022-09-07 19:35:23; INFO; User Session Manager; 15760; 8] UserSessionPipeStreamServer OnRead Start, Command = 1
2022-09-07 19:35:23; INFO; User Session Manager; 15760; 8] USH_COMMAND_JOIN Start
2022-09-07 19:35:23; INFO; Aura Pluing; 15760; 8] Loaded library v5.2.9.0 successfully in ush
2022-09-07 19:35:23; INFO; User Session Manager; 15760; 8] USH_COMMAND_JOIN End
2022-09-07 19:35:23; INFO; User Session Manager; 15760; 8] UserSessionPipeStreamServer OnRead End, Command = 1
2022-09-07 19:35:23; INFO; User Session Manager; 15760; 8] UserSessionPipeStreamServer OnRead Start, Command = 1
2022-09-07 19:35:23; INFO; User Session Manager; 15760; 8] USH_COMMAND_JOIN Start
2022-09-07 19:35:23; INFO; Loopback Stream; 15760; 8] Loaded library v5.1.2.0 successfully in ush
